"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"163",3,45,45,17,45,11,0.254929959487734,"3",0,0
"164",3,46,46,18,46,11,0.178171764825236,"3",0,0
"165",3,47,47,18,47,11,0.180290786395844,"3",0,0
"166",3,48,48,18,48,12,0.270912427802801,"3",0,0
"167",3,49,49,18,49,13,0.384918263586875,"3",0,0
"168",3,50,50,18,50,14,0.520146436295395,"3",0,0
"169",3,51,51,19,51,14,0.39721779028883,"3",0,0
"170",3,52,52,20,52,14,0.295931884175417,"3",0,0
"171",3,53,53,20,53,15,0.408728911982303,"3",0,0
"172",3,54,54,20,54,15,0.410856481501148,"3",0,0
"173",3,55,55,20,55,15,0.412885634633891,"3",0,0
"174",3,56,56,20,56,15,0.414823067184775,"3",0,0
"175",3,57,57,20,57,15,0.416674879571191,"3",0,0
"176",3,58,58,20,58,16,0.547121067211056,"3",0,0
"177",3,59,59,20,59,16,0.548641723868639,"3",0,0
"178",3,60,60,21,60,16,0.429120173485369,"3",0,0
"179",3,61,61,21,61,16,0.430799262819459,"3",0,0
"180",3,62,62,21,62,16,0.432410446807022,"3",0,0
"181",3,63,63,22,63,17,0.440813252552262,"3",0,0
"182",3,64,64,23,64,18,0.448613743634755,"3",0,0
"183",3,65,65,23,65,19,0.573683273303889,"3",0,0
"184",3,66,66,24,66,20,0.579639271081656,"3",0,0
"185",3,67,67,24,67,20,0.581046761828747,"3",0,0
"186",3,68,68,25,68,20,0.466027368740173,"3",0,0
"187",3,69,69,25,69,20,0.467618225451489,"3",0,0
"188",3,70,70,25,70,20,0.469150286005629,"3",0,0
"189",3,71,71,25,71,21,0.590603886168253,"3",0,0
"190",3,72,72,25,72,21,0.591834208542994,"3",0,0
"191",3,73,73,26,73,22,0.597136274120697,"3",0,0
"192",3,74,74,26,74,22,0.598344506553142,"3",0,0
"193",3,75,75,26,75,22,0.599510178560003,"3",0,0
"194",3,76,76,26,76,22,0.600635513370761,"3",0,0
"195",3,77,77,27,77,22,0.488915747168168,"3",0,0
"196",3,78,78,27,78,22,0.490210901677636,"3",0,0
"197",3,79,79,28,79,23,0.496105172693462,"3",0,0
"198",3,80,80,28,80,23,0.497383627925483,"3",0,0
"199",3,81,81,28,81,23,0.498621288950493,"3",0,0
"200",3,82,82,28,82,23,0.499820086816025,"3",0,0
"201",3,83,83,28,83,23,0.500981832098125,"3",0,0
"202",3,84,84,29,84,23,0.404034313848655,"3",0,0
"203",3,85,85,29,85,24,0.507780118838683,"3",0,0
"204",3,86,86,29,86,24,0.508894013427668,"3",0,0
"205",3,87,87,30,87,24,0.412600023948042,"3",0,0
"206",3,88,88,30,88,25,0.515374143121551,"3",0,0
"207",3,89,89,30,89,25,0.516443271333809,"3",0,0
"208",3,90,90,31,90,25,0.420813774933888,"3",0,0
"209",3,91,91,31,91,26,0.522629180065759,"3",0,0
"210",3,92,92,31,92,26,0.523656368339587,"3",0,0
"211",3,93,93,31,93,26,0.524655127624542,"3",0,0
"212",3,94,94,31,94,26,0.525626627655186,"3",0,0
"213",3,95,95,32,95,26,0.430888126179399,"3",0,0
"214",3,96,96,32,96,27,0.531518704405219,"3",0,0
"215",3,97,97,32,97,27,0.532454528466016,"3",0,0
"216",3,98,98,32,98,27,0.533365878403618,"3",0,0
"217",3,99,99,32,99,27,0.534253706407786,"3",0,0
"218",3,100,100,33,100,27,0.440400698139003,"3",0,0
"219",4,1,1,0,1,0,1,"4",0,0
"220",4,2,2,0,2,0,1,"4",0,0
"221",4,3,3,0,3,0,1,"4",0,0
"222",4,4,4,0,4,0,1,"4",0,0
"223",4,5,5,0,5,0,1,"4",0,0
"224",4,6,6,0,6,1,1,"4",0,0
"225",4,7,7,1,7,1,1,"4",0,0
"226",4,8,8,1,8,2,1,"4",0,0
"227",4,9,9,1,9,2,1,"4",0,0
"228",4,10,10,1,10,3,0.576150122030579,"4",0,0
"229",4,11,11,1,11,3,0.580420366795921,"4",0,0
"230",4,12,12,2,12,4,0.637351888233937,"4",0,0
"231",4,13,13,2,13,4,0.641591573530442,"4",0,0
"232",4,14,14,2,14,5,0.382733088885226,"4",0,0
"233",4,15,15,2,15,5,0.387955122826146,"4",0,0
"234",4,16,16,2,16,5,0.392420524476582,"4",0,0
"235",4,17,17,3,17,5,0.685989353504948,"4",0,0
"236",4,18,18,4,18,5,1,"4",0,0
"237",4,19,19,5,19,5,0.999999999999999,"4",0,0
"238",4,20,20,5,20,6,1,"4",0,0
"239",4,21,21,5,21,6,1,"4",0,0
"240",4,22,22,5,22,7,0.734985221412139,"4",0,0
"241",4,23,23,5,23,7,0.737040266002149,"4",0,0
"242",4,24,24,5,24,7,0.738882680363527,"4",0,0
"243",4,25,25,5,25,8,0.519040028515736,"4",0,0
"244",4,26,26,5,26,9,0.348284066144778,"4",0,0
"245",4,27,27,5,27,9,0.35154922591175,"4",0,0
"246",4,28,28,5,28,10,0.227422321888674,"4",0,0
"247",4,29,29,5,29,10,0.23034015504794,"4",0,0
"248",4,30,30,5,30,10,0.233037982273905,"4",0,0
"249",4,31,31,5,31,11,0.146724481820647,"4",0,0
"250",4,32,32,5,32,11,0.148914673178766,"4",0,0
"251",4,33,33,6,33,11,0.260197270696397,"4",0,0
"252",4,34,34,6,34,11,0.262618290442521,"4",0,0
"253",4,35,35,7,35,12,0.28233188669139,"4",0,0
"254",4,36,36,7,36,12,0.284810363698919,"4",0,0
"255",4,37,37,7,37,13,0.190601392066981,"4",0,0
"256",4,38,38,8,38,13,0.304859920234037,"4",0,0
"257",4,39,39,8,39,14,0.208358956534477,"4",0,0
"258",4,40,40,9,40,14,0.323100623328882,"4",0,0
"259",4,41,41,9,41,15,0.22491999629968,"4",0,0
"260",4,42,42,10,42,15,0.339799816973947,"4",0,0
"261",4,43,43,10,43,15,0.342167059885356,"4",0,0
"262",4,44,44,10,44,15,0.34440420944994,"4",0,0
"263",4,45,45,11,45,15,0.485367716749872,"4",0,0
"264",4,46,46,11,46,16,0.359755536216274,"4",0,0
"265",4,47,47,12,47,16,0.49865759932111,"4",0,0
"266",4,48,48,12,48,17,0.373939880591483,"4",0,0
"267",4,49,49,12,49,17,0.376039891871664,"4",0,0
"268",4,50,50,12,50,17,0.378036820436076,"4",0,0
"269",4,51,51,13,51,18,0.389186827322799,"4",0,0
"270",4,52,52,14,52,19,0.399377226425391,"4",0,0
"271",4,53,53,14,53,19,0.401434008018906,"4",0,0
"272",4,54,54,14,54,19,0.403395304892628,"4",0,0
"273",4,55,55,14,55,20,0.302249789992474,"4",0,0
"274",4,56,56,14,56,20,0.30417347711584,"4",0,0
"275",4,57,57,14,57,21,0.223108003712514,"4",0,0
"276",4,58,58,14,58,21,0.224870459073081,"4",0,0
"277",4,59,59,14,59,22,0.161655407619516,"4",0,0
"278",4,60,60,14,60,23,0.113787466710015,"4",0,0
"279",4,61,61,15,61,23,0.171153934284009,"4",0,0
"280",4,62,62,15,62,23,0.172712410743433,"4",0,0
"281",4,63,63,16,63,23,0.247586700448116,"4",0,0
"282",4,64,64,16,64,23,0.249237745095341,"4",0,0
"283",4,65,65,16,65,23,0.25082884992094,"4",0,0
"284",4,66,66,16,66,24,0.184923065380996,"4",0,0
"285",4,67,67,16,67,24,0.186345501654038,"4",0,0
"286",4,68,68,16,68,24,0.187720614790651,"4",0,0
"287",4,69,69,16,69,24,0.189050705369842,"4",0,0
"288",4,70,70,16,70,24,0.190337929063431,"4",0,0
"289",4,71,71,16,71,25,0.138491654061022,"4",0,0
"290",4,72,72,16,72,26,0.0989312181549145,"4",0,0
"291",4,73,73,16,73,27,0.069429562889944,"4",0,0
"292",4,74,74,16,74,27,0.0702160552328944,"4",0,0
"293",4,75,75,17,75,27,0.106523123578418,"4",0,0
